"entity_id","entity_name","entity_code","team_id","total_pitches","total_pitches","total_pitches_empty","median_seconds_empty","total_pitches_onbase","median_seconds_empty","freq_hot","freq_warm","freq_cold"
670059,"Holderman, Colin","Pit",134,210,210,135,15.825,75,15.825,0.2714285714285714,0.6761904761904762,0.05238095238095238
642048,"Saucedo, Tayler","Pit",141,20,20,13,15.831,7,15.831,0.1,0.9,0
605164,"Bundy, Dylan","Pit",142,913,913,619,15.853,294,15.853,0.26506024096385544,0.6889375684556407,0.04600219058050383
656794,"Newcomb, Sean","Pit",112,288,288,164,15.86,124,15.86,0.2465277777777778,0.7326388888888888,0.020833333333333332
594311,"Gustave, Jandel","Pit",158,226,226,111,15.876,115,15.876,0.168141592920354,0.7699115044247787,0.061946902654867256
672710,"Contreras, Roansy","Pit",134,719,719,474,15.878,245,15.878,0.25034770514603616,0.7037552155771906,0.0458970792767733
664139,"Gibaut, Ian","Pit",113,324,324,161,15.901,163,15.901,0.19135802469135801,0.75,0.05864197530864197
682027,"Alldred, Cam","Pit",134,7,7,7,15.909,,15.909,0.2857142857142857,0.7142857142857143,0
663474,"McKenzie, Triston","Pit",114,1178,1178,877,15.948,301,15.948,0.27928692699490665,0.6723259762308998,0.04838709677419355
543101,"DeSclafani, Anthony","Pit",137,155,155,85,15.954,70,15.954,0.2129032258064516,0.7225806451612903,0.06451612903225806
643361,"Herget, Kevin","Pit",139,53,53,32,15.964,21,15.964,0.3584905660377358,0.6037735849056604,0.03773584905660377
668684,"Tully, Tanner","Pit",114,53,53,25,15.965,28,15.965,0.18867924528301888,0.7547169811320755,0.05660377358490566
650911,"Sánchez, Cristopher","Pit",143,303,303,179,15.965,124,15.965,0.2145214521452145,0.735973597359736,0.04950495049504951
595191,"Eickhoff, Jerad","Pit",134,35,35,20,15.978,15,15.978,0.17142857142857143,0.8,0.02857142857142857
477132,"Kershaw, Clayton","Pit",119,790,790,569,15.982,221,15.982,0.2721518987341772,0.710126582278481,0.017721518987341773
656686,"Martin, Corbin","Pit",109,208,208,125,15.992,83,15.992,0.21634615384615385,0.7211538461538461,0.0625
621111,"Buehler, Walker","Pit",119,459,459,296,15.995,163,15.995,0.25272331154684097,0.7124183006535948,0.034858387799564274
657140,"Wright, Kyle","Pit",144,1250,1250,813,15.999,437,15.999,0.236,0.7168,0.0472
593334,"Germán, Domingo","Pit",147,487,487,328,16.007,159,16.007,0.25051334702258726,0.7002053388090349,0.049281314168377825
571510,"Boyd, Matthew","Pit",136,91,91,59,16.009,32,16.009,0.2857142857142857,0.6483516483516484,0.06593406593406594
665001,"Kelley, Trevor","Pit",158,243,243,143,16.011,100,16.011,0.1934156378600823,0.7777777777777778,0.02880658436213992
641927,"Ober, Bailey","Pit",142,369,369,255,16.026,114,16.026,0.26287262872628725,0.7073170731707317,0.02981029810298103
650496,"Mejía, J.C.","Pit",158,30,30,10,16.027,20,16.027,0.13333333333333333,0.8666666666666667,0
571578,"Corbin, Patrick","Pit",120,1198,1198,728,16.043,470,16.043,0.21452420701168615,0.7153589315525877,0.07011686143572621
642545,"Barría, Jaime","Pit",108,500,500,311,16.047,189,16.047,0.214,0.764,0.022
667725,"Tyler, Kyle","Pit",135,18,18,15,16.055,3,16.055,0.2777777777777778,0.7222222222222222,0
657745,"Rossman, Bubby","Pit",143,9,9,7,16.06,2,16.06,0,1,0
676617,"O'Brien, Riley","Pit",136,11,11,9,16.063,2,16.063,0.18181818181818182,0.8181818181818182,0
663753,"Knehr, Reiss","Pit",135,111,111,61,16.064,50,16.064,0.1981981981981982,0.7837837837837838,0.018018018018018018
624522,"Thompson, Keegan","Pit",112,887,887,553,16.074,334,16.074,0.21645997745208567,0.7440811724915445,0.03945885005636979
669920,"Alexander, Jason","Pit",158,586,586,384,16.076,202,16.076,0.22696245733788395,0.726962457337884,0.04607508532423208
643493,"Pruitt, Austin","Pit",133,359,359,252,16.089,107,16.089,0.18662952646239556,0.7938718662952646,0.019498607242339833
501925,"Smith, Joe","Pit",142,208,208,110,16.09,98,16.09,0.1971153846153846,0.7836538461538461,0.019230769230769232
666721,"Castillo, Max","Pit",118,326,326,240,16.118,86,16.118,0.21779141104294478,0.7300613496932515,0.05214723926380368
676265,"Abbott, Cory","Pit",120,368,368,244,16.119,124,16.119,0.22282608695652173,0.6820652173913043,0.09510869565217392
672911,"Cruz, Jesus","Pit",144,73,73,48,16.128,25,16.128,0.1232876712328767,0.821917808219178,0.0547945205479452
641771,"Kuhl, Chad","Pit",115,1140,1140,721,16.14,419,16.14,0.21403508771929824,0.7228070175438597,0.06315789473684211
666200,"Luzardo, Jesús","Pit",146,756,756,536,16.143,220,16.143,0.27380952380952384,0.6984126984126984,0.027777777777777776
605200,"Davies, Zach","Pit",109,1158,1158,790,16.15,368,16.15,0.20466321243523317,0.7590673575129534,0.03626943005181347
607229,"Gsellman, Robert","Pit",112,96,96,65,16.154,31,16.154,0.23958333333333334,0.7395833333333334,0.020833333333333332
641312,"Anderson, Shaun","Pit",141,10,10,4,16.156,6,16.156,0,1,0
663554,"Mize, Casey","Pit",116,82,82,42,16.173,40,16.173,0.15853658536585366,0.7439024390243902,0.0975609756097561
676637,"Sanders, Phoenix","Pit",139,90,90,55,16.239,35,16.239,0.26666666666666666,0.7111111111111111,0.022222222222222223
571863,"Koch, Matt","Pit",136,36,36,20,16.249,16,16.249,0.16666666666666666,0.8055555555555556,0.027777777777777776
622103,"Reyes, Gerardo","Pit",108,24,24,8,16.256,16,16.256,0.041666666666666664,0.9166666666666666,0.041666666666666664
622663,"Severino, Luis","Pit",147,727,727,510,16.258,217,16.258,0.2861072902338377,0.6478679504814305,0.06602475928473177
666120,"Anderson, Ian","Pit",144,893,893,593,16.262,300,16.262,0.23964165733482642,0.7133258678611423,0.04703247480403135
676477,"Whitlock, Garrett","Pit",111,525,525,379,16.266,146,16.266,0.22285714285714286,0.7276190476190476,0.049523809523809526
672282,"Detmers, Reid","Pit",108,1005,1005,622,16.271,383,16.271,0.20298507462686566,0.7522388059701492,0.04477611940298507
670174,"Winckowski, Josh","Pit",111,598,598,348,16.29,250,16.29,0.21237458193979933,0.7123745819397993,0.07525083612040134
678394,"Bello, Brayan","Pit",111,469,469,225,16.291,244,16.291,0.16417910447761194,0.6695095948827292,0.16631130063965885
686752,"Pepiot, Ryan","Pit",119,379,379,223,16.351,156,16.351,0.19525065963060687,0.7810026385224275,0.023746701846965697
663804,"Kowar, Jackson","Pit",118,145,145,82,16.366,63,16.366,0.15862068965517243,0.8275862068965517,0.013793103448275862
547179,"Lorenzen, Michael","Pit",108,763,763,478,16.38,285,16.38,0.22280471821756226,0.7431192660550459,0.03407601572739188
543521,"McHugh, Collin","Pit",144,482,482,279,16.381,203,16.381,0.15560165975103735,0.8008298755186722,0.043568464730290454
