last_name, first_name,player_id,name_abbrev,team_id,position_name,age,bat_side,seconds_since_hit_000,seconds_since_hit_005,seconds_since_hit_010,seconds_since_hit_015,seconds_since_hit_020,seconds_since_hit_025,seconds_since_hit_030,seconds_since_hit_035,seconds_since_hit_040,seconds_since_hit_045,seconds_since_hit_050,seconds_since_hit_055,seconds_since_hit_060,seconds_since_hit_065,seconds_since_hit_070,seconds_since_hit_075,seconds_since_hit_080,seconds_since_hit_085,seconds_since_hit_090
Camargo, Johan,622666,ATL,144,3B,23,L,0.00,0.53,0.82,1.09,1.33,1.56,1.78,1.98,2.18,2.38,2.57,2.75,2.94,3.12,3.30,3.49,3.68,3.87,4.07
Candelario, Jeimer,600869,DET,116,3B,23,L,0.00,0.52,0.81,1.07,1.31,1.54,1.76,1.96,2.16,2.34,2.53,2.71,2.89,3.07,3.24,3.42,3.59,3.76,3.95
Canha, Mark,592192,OAK,133,CF,28,R,0.00,0.56,0.86,1.12,1.37,1.59,1.81,2.01,2.21,2.40,2.58,2.76,2.94,3.12,3.30,3.48,3.65,3.83,4.00
Canó, Robinson,429664,SEA,136,2B,34,L,0.00,0.54,0.84,1.12,1.38,1.62,1.84,2.06,2.27,2.47,2.67,2.87,3.06,3.26,3.45,3.65,3.85,4.06,4.28
Caratini, Victor,605170,CHC,112,C,23,L,0.00,0.53,0.83,1.11,1.36,1.60,1.82,2.03,2.24,2.44,2.64,2.83,3.02,3.21,3.40,3.59,3.79,3.99,4.22
Carpenter, Matt,572761,STL,138,1B,31,L,0.00,0.54,0.85,1.12,1.36,1.59,1.81,2.02,2.22,2.42,2.61,2.80,2.98,3.17,3.35,3.53,3.72,3.91,4.11
Carrera, Ezequiel,485567,TOR,141,LF,30,L,0.00,0.53,0.82,1.08,1.31,1.54,1.75,1.94,2.14,2.32,2.50,2.68,2.85,3.03,3.20,3.37,3.54,3.71,3.89
Carter, Chris,474892,NYY,147,1B,30,R,0.00,0.56,0.87,1.15,1.41,1.64,1.86,2.07,2.28,2.47,2.67,2.85,3.04,3.23,3.41,3.59,3.77,3.95,4.15
Castellanos, Nick,592206,DET,116,3B,25,R,0.00,0.55,0.85,1.11,1.35,1.58,1.79,1.99,2.18,2.37,2.56,2.74,2.92,3.09,3.26,3.43,3.60,3.77,3.95
Castillo, Welington,456078,BAL,110,C,30,R,0.00,0.55,0.86,1.14,1.40,1.63,1.86,2.08,2.28,2.49,2.69,2.89,3.08,3.28,3.47,3.66,3.86,4.06,4.26
