year,maxeff_arm_2b_3b_sba,exchange_2b_3b_sba,first_name,last_name,time_second_base,time_third_base
2020,81.4,0.72,Luis,Torrens,212.59113513513512,150.65357837837837
2020,81.0,0.72,Anthony,Bemboom,213.64096790123457,151.39754666666667
2020,79.5,0.69,Christian,Vázquez,217.67192955974843,154.25410415094336
2020,85.3,0.74,Martín,Maldonado,202.8712590855803,143.76554841735054
2020,79.6,0.71,Max,Stassi,217.39847236180907,154.0603175879397
2020,79.6,0.73,Austin,Nola,217.39847236180907,154.0603175879397
2020,81.9,0.75,Andrew,Knapp,211.29326495726494,149.73383736263736
2020,77.6,0.69,Omar,Narváez,223.0015257731959,158.0309443298969
2020,84.4,0.75,Drew,Butera,205.03457819905213,145.29859336492888
2020,84.2,0.75,Joey,Bart,205.52159619952496,145.6437206650831
2020,83.1,0.75,Gary,Sanchez,208.24209867629364,147.57161588447653
2020,81.3,0.73,Michael,Perez,212.8526248462485,150.83888413284132
2020,77.9,0.77,Robinson,Chirinos,222.14272657252886,157.4223527599486
2020,81.7,0.72,Yadier,Molina,211.81050673194613,150.10038286413706
2020,75.9,0.72,Tony,Wolters,227.99628985507246,161.57050434782604
2020,77.5,0.75,Curt,Casali,223.28926967741936,158.23485522580643
2020,78.9,0.7,Dustin,Garneau,219.32722940430924,155.42713916349805
2020,82.7,0.8,Will,Smith,209.24931559854898,148.285384280532
2020,76.8,0.72,Sandy,Leon,225.32445833333333,159.6771
2020,76.0,0.71,Austin,Barnes,227.6962947368421,161.35791157894735
2020,78.9,0.75,Roberto,Perez,219.32722940430924,155.42713916349805
2020,77.0,0.7,Jeff,Mathis,224.73919999999998,159.26235428571425
2020,77.0,0.69,Tucker,Barnhart,224.73919999999998,159.26235428571425
2020,77.5,0.67,Yasmani,Grandal,223.28926967741936,158.23485522580643
2020,80.5,0.73,Danny,Jansen,214.96793043478263,152.3379040993789
2020,82.5,0.74,Manny,Piña,209.7565866666667,148.64486399999998
2020,81.0,0.73,Travis,d'Arnaud,213.64096790123457,151.39754666666667
2020,77.1,0.79,Joseph,Odom,224.44770946822305,159.05578832684824
2020,80.4,0.79,Austin,Romine,215.23530348258706,152.52737910447757
2020,81.2,0.75,,,213.11475862068966,151.0246463054187
2020,72.6,0.68,Stephen,Vogt,238.3597575757576,168.91461818181818
2020,79.5,0.76,Ryan,Jeffers,217.67192955974843,154.25410415094336
2020,77.0,0.75,Wilson,Ramos,224.73919999999998,159.26235428571425
2020,78.0,0.8,Kurt,Suzuki,221.8579282051282,157.22052923076924
2020,81.8,0.81,Mitch,Garver,211.5515696821516,149.91688606356968
2020,81.9,0.77,Jacob,Stallings,211.29326495726494,149.73383736263736
2020,73.8,0.79,Jose,Trevino,234.48398915989162,166.16803902439023
2020,74.8,0.74,Kevin,Plawecki,231.34917647058825,163.9465411764706
2020,78.2,0.71,Alex,Avila,221.29051662404092,156.81843069053704
2020,73.6,0.77,Tyler,Flowers,235.12117391304352,166.61958260869565
2020,78.7,0.73,Yan,Gomes,219.8846048284625,155.82212554002538
2020,75.4,0.89,Chance,Sisco,229.50820159151192,162.6419267904509
2020,81.8,0.79,Carson,Kelly,211.5515696821516,149.91688606356968
2019,80.1,0.67,Tomás,Nido,216.0414282147316,153.0986426966292
2019,88.4,0.68,J.T.,Realmuto,195.75699547511311,138.72399638009048
2019,79.2,0.65,Jake,Rogers,218.49644444444445,154.83839999999998
2019,84.7,0.68,Willson,Contreras,204.30836363636365,144.7839584415584
2019,83.6,0.75,Russell,Martin,206.9966315789474,146.6890105263158
2019,82.5,0.78,Kyle,Higashioka,209.7565866666667,148.64486399999998
2019,87.4,0.79,Sean,Murphy,197.99677803203662,140.3112274599542
