last_name, first_name,pitcher,ff_avg_speed,si_avg_speed,fc_avg_speed,sl_avg_speed,ch_avg_speed,cu_avg_speed,fs_avg_speed,kn_avg_speed
Tomlin, Josh,458708,89.4,88.5,86.9,,84.7,76.5,,
Gallegos, Giovanny,606149,93.7,,,85.3,87.2,,,
Liriano, Francisco,434538,92.8,93,,87,87,,,
James, Josh,657624,97.1,,,84.5,89,81.6,,
Armstrong, Shawn,542888,93.4,,89.9,83,,,,
Ottavino, Adam,493603,93.8,93.9,88.2,81.9,,,,
Neris, Héctor,593576,94.4,94.8,,,,,86.9,
Castillo, Diego,650895,98.4,98.2,,88.7,,,,
Iglesias, Raisel,628452,95.4,95.4,,84.1,89,,,
Soto, Gregory,642397,96,95.3,,84.9,88.3,,,
Cishek, Steve,518553,90.5,90.5,,78.9,83.9,,,
Ramirez, Noé,598287,89.1,,,,84.2,77.7,,
Hughes, Jared,453172,92.8,91.1,,84.3,84.6,80,,
Anderson, Nick,623433,96,,,,,83.1,,
Soria, Joakim,465657,92.6,93.3,,81.5,87.6,73,,
Kennedy, Ian,453178,94.4,,91.3,,87.9,80.5,,
Givens, Mychal,571710,95.3,,,87.1,84.7,,,
Báez, Pedro,520980,95.8,96,,86.3,86.2,,,
Gant, John,607231,95.9,95.8,90.2,,83.1,77.1,,
Guerra, Javy,457915,92.7,,,85.2,83.6,79,,
Fry, Paul,643316,90.7,,,83.9,87.7,,,
Pagán, Emilio,641941,95.5,,87.5,,,80.3,,
Doolittle, Sean,448281,93.5,,,80.9,,,83.7,
Díaz, Edwin,621242,97.4,95.9,,89.5,,,,
Gsellman, Robert,607229,95.7,95.3,,90.5,87.2,81.3,,
Melancon, Mark,453343,92.2,,91.8,,,82.1,83.4,
Conley, Adam,543045,95.3,,,86.1,86.5,83,,
Jiménez, Joe,641729,95.1,,,86.2,89.2,,,
Fry, Jace,605240,92.9,92.3,88.2,,86.1,78.4,,
Osich, Josh,592612,94.4,94.4,89.3,77.9,84.1,,,
Weaver, Luke,596133,93.8,96,87.5,,84.5,81.3,,
Ryan, Kyle,594986,89.8,89.2,87.3,,84.3,79.8,,
Jansen, Kenley,445276,,93.2,91.7,81.8,,,,
Mengden, Daniel,596043,91.5,90.4,86,83.4,82.9,72.5,,
García, Luis,472610,97.1,96.8,,85.2,,,86.7,
Smith, Will,519293,92.6,,,81.6,87,77.1,,
Familia, Jeurys,544727,95.9,95.9,,88.1,,,92.2,
Perdomo, Luis,606131,95.1,94.2,,86.6,,,88.5,
Rogers, Taylor,573124,94.6,94.8,,82.8,,79.9,,
Bummer, Aaron,607481,95.1,95.6,87.9,84.9,89.4,,,
Moronta, Reyes,606625,97.2,,,83.4,89.8,,,
Bettis, Chad,518452,93,93.1,88.7,,87,77.3,,
Kingham, Nick,592468,91.9,90,90.6,82,85.1,80.1,,
Martin, Brett,656685,94,93.6,,85.1,,80.9,,
Yates, Kirby,489446,93.5,,,85.2,,,86.3,
Parker, Blake,453284,91.2,,88.1,,,76,79.9,
Covey, Dylan,592229,94.2,94.5,90.9,83.4,85.7,82,,
Feliz, Michael,593140,95.1,,,81.8,86.1,,,
Bedrosian, Cam,592135,92.9,,,83.2,,,86.1,
Albers, Matt,458006,93.2,92.7,,83.4,83.7,,,
Stephenson, Robert,596112,94.9,,,84.5,,,87.1,
Treinen, Blake,595014,97,96.5,93.2,88.5,,,,
Kahnle, Tommy,592454,96.5,,,83.3,90,,,
Garcia, Yimi,554340,94.2,93.5,,86.9,87.3,83.2,,
Brach, Brad,542960,94.1,92.5,91,85.4,86.6,,,
Romo, Sergio,489265,86.5,86.2,,77.4,80.2,,,
Brewer, Colten,605155,95.4,94.7,93.4,88.3,89.3,82,,
Alvarez, Jose,501625,91.4,91.4,87,83.3,82,81.6,,
Duffey, Tyler,608648,93.9,93.9,,,86,82.3,,
Colomé, Alex,517008,94.4,,90.4,,91.2,,,
Eickhoff, Jerad,595191,89.4,89.7,,83.8,,74.6,,
Rondón, Héctor,444468,96.7,96.6,,86.8,90.6,,,
Swanson, Erik,657024,92.7,,,85.4,85.8,,,
Claudio, Alex,592222,85.5,85.6,,76.6,73.3,69.9,,
Chapman, Aroldis,547973,98,100.2,,85.2,88.1,,,
Wittgren, Nick,621295,92.3,,,83.7,85.6,78.4,,
Straily, Dan,573185,90.2,91.4,,83.6,84,76.1,,
Buchholz, Clay,453329,89.7,89.2,84.4,,76.6,75.1,,
Miller, Andrew,453192,92.4,94.3,,82.4,84.2,,,
Velázquez, Hector,584171,92.2,91.1,,83.1,85.9,77.6,,
Erlin, Robbie,572362,90.7,90.5,,88.2,83.5,76.2,,
Margevicius, Nick,676606,88.3,,,80.2,79,70.8,,
Vázquez, Felipe,553878,98.5,97.7,,86.8,88.5,82.5,,
Trivino, Lou,642152,97.4,97.4,92.1,,87.6,79.8,,
Hill, Rich,448179,90.3,88.1,84.8,73.1,82.1,74.5,,
Garrett, Amir,607237,95.8,95.1,,85.8,,,,
Greene, Shane,572888,93.9,92.6,87.7,80.2,85.4,,,
Bañuelos, Manny,544365,92,91.4,,85.3,82.6,78.8,,
Hand, Brad,543272,92.7,91.9,,81.2,,,,
VerHagen, Drew,572403,93.8,92.9,,84.8,89.1,78.5,,
Osuna, Roberto,532077,96.7,95.7,91.9,88.2,84.4,83.1,,
Brasier, Ryan,518489,96.1,96.1,,85.2,87.4,,,
Harvey, Matt,518774,93.2,94.5,,87.2,85.7,81.4,,
Swarzak, Anthony,461872,93.4,92.5,,86.1,,,,
Drake, Oliver,543118,93.5,,90.2,,,,84,
Wisler, Matt,605538,92.9,92.8,,83.5,,75.4,,
Hirano, Yoshihisa,673633,91.1,,,73.5,,,83.8,
Crick, Kyle,605195,95.3,94.9,,81.5,89,,,
Clippard, Tyler,461325,90.1,89.9,,82.6,78.4,74.4,81.8,
Roe, Chaz,475054,92.1,92.1,87.2,81.1,,74.9,,
Mayza, Tim,641835,93.6,94.3,,87.8,,,,
Alexander, Tyler,641302,90.6,90.7,,85.3,84.1,81,,
Gott, Trevor,641627,94.7,94.4,,86,89,81.1,,
Harris, Will,501789,92,,91.2,,,81.3,,
Cole, Taylor,518566,93.2,,92.5,87.4,86.9,82.2,,
Herrera, Kelvin,516969,96.3,95.4,91.3,81.7,88.6,,,
Wingenter, Trey,622259,95.9,,,85.8,,,,
Britton, Zack,502154,,94.7,,80.6,,,,
Gearrin, Cory,518715,91,91.3,,85.2,85.3,,,
Glasnow, Tyler,607192,96.9,,,,92.6,83.5,,
Rainey, Tanner,663432,97.7,,,87.2,90.4,,,
Guerrero, Tayron,594027,98.9,99.3,,87.3,,,,
Oberg, Scott,623184,94.3,95.2,,85.6,87.9,,,
Anderson, Justin,605121,94.6,94.7,,84.5,88,,,
McFarland, T.J.,519008,89.2,89.4,,80.9,82,,,
Chafin, Andrew,605177,93.6,93.8,,84.4,,,,
Díaz, Jairo,545064,97.2,96.8,,88.2,,,,
Burnes, Corbin,669203,95.2,95.7,92.6,87.9,90.8,80.9,,
Magill, Matt,543483,95.2,,94.6,88.4,89.7,85.9,,
Webb, Tyler,643778,89.9,89.8,,,79.7,76.7,,
Kelly, Joe,523260,97.5,98.3,,,87.6,87.2,,
McKay, Brendan,656713,93.7,,89.1,,86.4,81.7,,
McCarthy, Kevin,641838,90.8,91.1,,88,83.9,82.9,,
Holmes, Clay,605280,94,94.3,,86.8,87.1,81.6,,
Poche, Colin,621363,92.9,,,83.9,,,83.2,
Kinley, Tyler,641755,94.9,,,88.5,,,,
López, Yoan,661255,96.2,,,84.3,91.5,,,
Martin, Chris,455119,95.9,95.2,91.6,86.1,,,89,
Miller, Shelby,571946,94.3,94,88.6,79.7,86.7,79.4,,
Civale, Aaron,650644,92,92.6,87.9,83.6,84.2,75.5,,
Ponce de Leon, Daniel,594965,93.3,,89.1,84.4,83.1,77.9,,
Jeffress, Jeremy,502026,94,93.7,,,,81,90.2,
Kintzler, Brandon,445213,93.1,92.6,,86.7,87.5,,,
Rodney, Fernando,407845,94.4,93.6,,86.3,83,,,
Dyson, Sam,473879,94,93.8,91.1,82.8,87.3,,,
Davis, Wade,451584,93.2,92.9,88.9,,90.6,82.8,,
Allard, Kolby,663465,92.4,,87.7,,81.6,77.6,,
Marshall, Evan,605359,93.7,93.4,,,87.6,83.2,,
Nicasio, Juan,504379,93.8,93.1,,86.7,84.7,,,
Ferguson, Caleb,657571,94.4,,,,85.8,76.2,,
Kittredge, Andrew,552640,95.2,94.8,,88.3,85.8,,,
Watson, Tony,453265,94.3,93,,85.6,86.1,,,
Giles, Ken,571704,96.9,97.5,,86.4,,,,
Elías, Roenis,606273,93.9,93.8,,,86.6,77.6,,
Pressly, Ryan,519151,95.5,,,90.2,,83,,
Cimber, Adam,643256,85.9,84.9,,75.4,,,,
Taylor, Josh,657031,94.8,94.8,,87.5,88.6,79.9,,
Bard, Luke,572703,94.2,94.2,,86,87.2,,,
Kolarek, Adam,592473,91.6,88.9,83,75.7,81.4,,,
Rodriguez, Jefry,622446,93.9,93.4,,,87.8,80.9,,
Buchter, Ryan,488748,92.4,,89.7,,,77.6,,
Brice, Austin,592169,93.1,93.3,,,87.1,81.7,,
Martinez, Carlos,593372,96.6,94.3,93.9,86,88.1,,,
Toussaint, Touki,657053,93.7,93.2,,,,77.5,86.4,
Hernandez, David,456696,93.6,93.4,85.9,,88,82,,
Johnson, Brian,598271,88.9,88.9,,77.6,84.1,74.9,,
Yacabonis, Jimmy,642231,93.2,93.7,,82.7,87,,,
Kelley, Shawn,518875,91.9,,,82.4,83.3,,,
Suárez, Ranger,624133,92.9,91.9,,84.9,84.9,,,
Bleier, Richard,542947,85.8,89,87.5,79.7,81.4,,,
García, Jarlín,606424,93.3,,,84.4,86.9,,,
Ruiz, José,614179,96.4,,,88.3,86.9,82.1,,
Keller, Mitch,656605,95.4,,,87.6,91,81.1,,
Wood, Hunter,621056,93.6,,,86.6,86.2,76.7,,
Sims, Lucas,608371,93.5,95.3,,83.3,86.5,81.6,,
Vincent, Nick,543883,88.9,89.4,86.9,83.5,83.7,,,
Smeltzer, Devin,656970,89.1,,83.1,,82.8,76.9,,
Shafer, Justin,596101,94.3,92.3,90.1,85.6,,,,
Floro, Dylan,571670,94,93.7,,87.9,87.2,,,
Harper, Ryne,607560,89.3,,87.7,,76.1,75.6,,
Richard, Clayton,453385,91.1,90.2,,79.6,82.1,,,
Strop, Pedro,467008,93.5,93.5,88.4,83.1,,,88.7,
García, Edgar,658305,93.8,94.3,,87.1,89.1,,,
Pruitt, Austin,643493,91.9,91,,87.4,86.1,81.6,,
Hembree, Heath,592390,93.6,,,87.5,,81.7,,
Morin, Mike,573046,91.6,91.1,,81.7,72.6,,,
Bass, Anthony,542914,95.3,95.3,,87.3,,,86.6,
Sandoval, Patrick,663776,93,,,86.6,83.6,78,,
Brennan, Brandon,592165,94.5,94.7,,87.1,84.6,,,
Santiago, Héctor,502327,91.8,92.5,,85,83.9,74.6,,
Goody, Nick,580792,92.6,,,82.3,,,,
Kline, Branden,571858,96.2,,,86.6,87.6,,,
Barraclough, Kyle,607457,93.4,,,82.5,87.4,80.2,,
Grace, Matt,594840,,91.2,88.9,83.4,85.3,77.8,,
Rodón, Carlos,607074,91.4,95.4,,83.8,84.1,,,
Sadler, Casey,594987,93.3,93.4,90.2,,86.8,81.7,,
Gonsolin, Tony,664062,93.6,,,88,,80.5,86.6,
Holder, Jonathan,656547,92.1,,84.9,80.8,86,,,
Urquidy, José,664353,93.2,,,82.8,84.3,79,,
Wilson, Justin,458677,95,,90.1,83.8,,,,
Brigham, Jeff,656257,96.6,,,83,,,,
Hardy, Blaine,543278,88.2,88.8,86.1,,79.2,76.5,,
Alcántara, Victor,622505,,93.4,,89.2,88.2,,,
Carpenter, Ryan,543001,90,89.8,,81.5,83.3,76.1,,
Voth, Austin,608723,92.7,,,86.7,86,79.5,,
Hernandez, Darwinzon,650382,95.5,97.7,,82.7,,76,,
Duplantier, Jon,641541,92.2,92,,83.4,84,78.4,,
Webb, Logan,657277,93.2,91.8,,81.9,84.9,,,
Hellickson, Jeremy,476451,88.6,88.7,85.7,,79.8,73.7,,
Weber, Ryan,543901,88.4,89.4,86.3,78.5,81.6,76.6,,
Sheffield, Justus,656954,92.8,,,84.2,87.7,79.4,,
Springs, Jeffrey,605488,92.1,90.4,,83.7,80.3,,,
Leone, Dominic,608678,94.3,93.3,89.7,83.7,88.1,,,
Barnes, Jacob,606930,93.6,,88.3,82.1,,,,
Pérez, Oliver,424144,91.5,91.8,,78.5,,,,
Hartlieb, Geoff,664129,96.4,95,,85.2,90.1,,,
McGee, Jake,459429,93.4,,,80.4,,,,
Quijada, José,650671,93.3,,,,85.4,80.2,,
Cisnero, José,542585,96.4,95.9,,86.6,90.6,,,
Peralta, Wily,503449,94.3,95.1,,82.1,84.8,74.7,,
